YearlyStep;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter]
2016-01-01 00:00:00 +0000;340586;192908;224802.0;15366;1254
2017-01-01 00:00:00 +0000;1470038;832630;943183.9;64458;4454
2018-01-01 00:00:00 +0000;1789957;1012523;1244785.6;85152;2899
2019-01-01 00:00:00 +0000;1504697;852260;1023297.5;69965;3390
2020-01-01 00:00:00 +0000;1846064;1045611;1270216.9;86812;4527
2021-01-01 00:00:00 +0000;1736332;1305694;1204539.1;82404;2979
