type;target;actual;timestamp
Steps;5000.0;8.857;2021-04-29 00:00:00 +0000
Steps;5000.0;11.130;2021-04-25 00:00:00 +0000
Steps;5000.0;14.939;2021-04-20 00:00:00 +0000
Steps;5000.0;10.377;2021-04-19 00:00:00 +0000
Steps;5000.0;5.009;2021-04-18 00:00:00 +0000
Steps;5000.0;11.452;2021-04-16 00:00:00 +0000
Steps;5000.0;7.407;2021-04-15 00:00:00 +0000
Steps;5000.0;15.130;2021-04-14 00:00:00 +0000
Steps;5000.0;5.575;2021-04-12 00:00:00 +0000
Steps;5000.0;7.737;2021-04-06 00:00:00 +0000
Steps;5000.0;19.742;2021-04-03 00:00:00 +0000
Steps;5000.0;15.237;2021-03-25 00:00:00 +0000
Steps;5000.0;10.371;2021-03-21 00:00:00 +0000
Steps;5000.0;16.313;2021-03-20 00:00:00 +0000
Steps;5000.0;12.188;2021-03-19 00:00:00 +0000
Steps;5000.0;13.065;2021-03-18 00:00:00 +0000
Steps;5000.0;9.867;2021-03-09 00:00:00 +0000
Steps;5000.0;15.270;2021-03-07 00:00:00 +0000
Steps;5000.0;6.769;2021-03-06 00:00:00 +0000
Steps;5000.0;10.900;2021-02-28 00:00:00 +0000
Steps;5000.0;14.890;2021-02-26 00:00:00 +0000
Steps;5000.0;11.157;2021-02-24 00:00:00 +0000
Steps;5000.0;15.132;2021-02-21 00:00:00 +0000
Steps;5000.0;14.856;2021-02-19 00:00:00 +0000
Steps;5000.0;7.586;2021-02-16 00:00:00 +0000
Steps;5000.0;19.366;2021-02-15 00:00:00 +0000
Steps;5000.0;13.687;2021-02-13 00:00:00 +0000
Steps;5000.0;14.397;2021-02-12 00:00:00 +0000
Steps;5000.0;9.692;2021-02-07 00:00:00 +0000
Steps;5000.0;16.778;2021-02-06 00:00:00 +0000
Steps;5000.0;6.129;2021-02-04 00:00:00 +0000
Steps;5000.0;16.638;2021-01-17 00:00:00 +0000
Steps;5000.0;10.780;2021-01-16 00:00:00 +0000
Steps;5000.0;14.010;2021-01-13 00:00:00 +0000
Steps;5000.0;13.233;2021-01-07 00:00:00 +0000
Steps;5000.0;14.809;2021-01-03 00:00:00 +0000
Steps;5000.0;6.305;2020-12-26 00:00:00 +0000
Steps;5000.0;7.115;2020-12-25 00:00:00 +0000
Steps;5000.0;10.045;2020-12-21 00:00:00 +0000
Steps;5000.0;8.446;2020-12-19 00:00:00 +0000
Steps;5000.0;7.087;2020-12-15 00:00:00 +0000
Steps;5000.0;5.360;2020-12-03 00:00:00 +0000
Steps;5000.0;8.233;2020-12-02 00:00:00 +0000
Steps;5000.0;7.828;2020-11-30 00:00:00 +0000
Steps;5000.0;10.739;2020-11-28 00:00:00 +0000
Steps;5000.0;7.827;2020-11-26 00:00:00 +0000
Steps;5000.0;6.871;2020-11-25 00:00:00 +0000
Steps;5000.0;8.037;2020-11-18 00:00:00 +0000
Steps;5000.0;6.568;2020-11-16 00:00:00 +0000
Steps;5000.0;10.590;2020-11-15 00:00:00 +0000
Steps;5000.0;21.691;2020-11-14 00:00:00 +0000
Steps;5000.0;6.733;2020-11-10 00:00:00 +0000
Steps;5000.0;14.581;2020-11-06 00:00:00 +0000
Steps;5000.0;5.985;2020-11-04 00:00:00 +0000
Steps;5000.0;7.367;2020-11-03 00:00:00 +0000
Steps;5000.0;19.230;2020-11-01 00:00:00 +0000
Steps;5000.0;13.193;2020-10-31 00:00:00 +0000
Steps;5000.0;7.949;2020-10-30 00:00:00 +0000
Steps;5000.0;9.544;2020-10-18 00:00:00 +0000
Steps;5000.0;10.667;2020-10-17 00:00:00 +0000
Steps;5000.0;10.852;2020-10-16 00:00:00 +0000
Steps;5000.0;16.701;2020-10-13 00:00:00 +0000
Steps;5000.0;6.090;2020-10-07 00:00:00 +0000
Steps;5000.0;10.239;2020-10-06 00:00:00 +0000
Steps;5000.0;13.663;2020-10-04 00:00:00 +0000
Steps;5000.0;5.647;2020-10-02 00:00:00 +0000
Steps;5000.0;5.074;2020-10-01 00:00:00 +0000
Steps;5000.0;5.140;2020-09-30 00:00:00 +0000
Steps;5000.0;5.646;2020-09-28 00:00:00 +0000
Steps;5000.0;5.710;2020-09-24 00:00:00 +0000
Steps;5000.0;11.796;2020-09-20 00:00:00 +0000
Steps;5000.0;16.589;2020-09-19 00:00:00 +0000
Steps;5000.0;5.300;2020-09-17 00:00:00 +0000
Steps;5000.0;5.486;2020-09-15 00:00:00 +0000
Steps;5000.0;6.094;2020-09-14 00:00:00 +0000
Steps;5000.0;5.097;2020-09-09 00:00:00 +0000
Steps;5000.0;5.624;2020-09-07 00:00:00 +0000
Steps;5000.0;17.479;2020-09-06 00:00:00 +0000
Steps;5000.0;11.148;2020-09-05 00:00:00 +0000
Steps;5000.0;5.227;2020-09-04 00:00:00 +0000
Steps;5000.0;9.167;2020-08-28 00:00:00 +0000
Steps;5000.0;10.553;2020-08-25 00:00:00 +0000
Steps;5000.0;12.090;2020-08-11 00:00:00 +0000
Steps;5000.0;10.079;2020-08-08 00:00:00 +0000
Steps;5000.0;11.176;2020-08-06 00:00:00 +0000
Steps;5000.0;7.751;2020-08-03 00:00:00 +0000
Steps;5000.0;14.212;2020-07-31 00:00:00 +0000
Steps;5000.0;7.617;2020-07-30 00:00:00 +0000
Steps;5000.0;9.187;2020-07-28 00:00:00 +0000
Steps;5000.0;5.416;2020-07-27 00:00:00 +0000
Steps;5000.0;8.931;2020-07-26 00:00:00 +0000
Steps;5000.0;5.594;2020-07-25 00:00:00 +0000
Steps;5000.0;13.382;2020-07-23 00:00:00 +0000
Steps;5000.0;12.606;2020-07-22 00:00:00 +0000
Steps;5000.0;11.905;2020-07-20 00:00:00 +0000
Steps;5000.0;5.654;2020-07-09 00:00:00 +0000
Steps;5000.0;5.875;2020-07-08 00:00:00 +0000
Steps;5000.0;12.790;2020-07-05 00:00:00 +0000
Steps;5000.0;10.290;2020-07-02 00:00:00 +0000
Steps;5000.0;11.753;2020-06-30 00:00:00 +0000
Steps;5000.0;7.559;2020-06-29 00:00:00 +0000
Steps;5000.0;10.584;2020-06-28 00:00:00 +0000
Steps;5000.0;10.232;2020-06-27 00:00:00 +0000
Steps;5000.0;6.516;2020-06-26 00:00:00 +0000
Steps;5000.0;7.286;2020-06-25 00:00:00 +0000
Steps;5000.0;12.235;2020-06-22 00:00:00 +0000
Steps;5000.0;13.637;2020-06-18 00:00:00 +0000
Steps;5000.0;16.711;2020-06-16 00:00:00 +0000
Steps;5000.0;10.177;2020-06-14 00:00:00 +0000
Steps;5000.0;9.740;2020-06-13 00:00:00 +0000
Steps;5000.0;6.304;2020-06-11 00:00:00 +0000
Steps;5000.0;5.872;2020-06-09 00:00:00 +0000
Steps;5000.0;13.389;2020-06-08 00:00:00 +0000
Steps;5000.0;11.069;2020-06-04 00:00:00 +0000
Steps;5000.0;5.899;2020-06-03 00:00:00 +0000
Steps;5000.0;12.736;2020-06-02 00:00:00 +0000
Steps;5000.0;13.432;2020-05-30 00:00:00 +0000
Steps;5000.0;12.491;2020-05-28 00:00:00 +0000
Steps;5000.0;6.458;2020-05-27 00:00:00 +0000
Steps;5000.0;6.837;2020-05-21 00:00:00 +0000
Steps;5000.0;9.002;2020-05-19 00:00:00 +0000
Steps;5000.0;7.360;2020-05-17 00:00:00 +0000
Steps;5000.0;6.483;2020-05-16 00:00:00 +0000
Steps;5000.0;14.982;2020-05-10 00:00:00 +0000
Steps;5000.0;8.611;2020-05-08 00:00:00 +0000
Steps;5000.0;9.490;2020-05-07 00:00:00 +0000
Steps;5000.0;12.319;2020-05-05 00:00:00 +0000
Steps;5000.0;6.417;2020-05-03 00:00:00 +0000
Steps;5000.0;15.604;2020-05-01 00:00:00 +0000
Steps;5000.0;6.369;2020-04-25 00:00:00 +0000
Steps;5000.0;9.874;2020-04-23 00:00:00 +0000
Steps;5000.0;6.051;2020-04-21 00:00:00 +0000
Steps;5000.0;11.765;2020-04-19 00:00:00 +0000
Steps;5000.0;14.434;2020-04-18 00:00:00 +0000
Steps;5000.0;11.747;2020-04-14 00:00:00 +0000
Steps;5000.0;14.471;2020-04-07 00:00:00 +0000
Steps;5000.0;11.583;2020-04-05 00:00:00 +0000
Steps;5000.0;17.037;2020-04-04 00:00:00 +0000
Steps;5000.0;10.880;2020-03-26 00:00:00 +0000
Steps;5000.0;13.323;2020-03-18 00:00:00 +0000
Steps;5000.0;6.510;2020-03-16 00:00:00 +0000
Steps;5000.0;11.938;2020-03-14 00:00:00 +0000
Steps;5000.0;9.524;2020-03-10 00:00:00 +0000
Steps;5000.0;6.591;2020-03-08 00:00:00 +0000
Steps;5000.0;10.917;2020-03-07 00:00:00 +0000
Steps;5000.0;8.192;2020-03-06 00:00:00 +0000
Steps;5000.0;9.555;2020-03-03 00:00:00 +0000
Steps;5000.0;11.291;2020-02-29 00:00:00 +0000
Steps;5000.0;11.862;2020-02-26 00:00:00 +0000
Steps;5000.0;7.648;2020-02-25 00:00:00 +0000
Steps;5000.0;13.079;2020-02-23 00:00:00 +0000
Steps;5000.0;5.956;2020-02-22 00:00:00 +0000
Steps;5000.0;6.074;2020-02-21 00:00:00 +0000
Steps;5000.0;7.770;2020-02-18 00:00:00 +0000
Steps;5000.0;7.828;2020-02-17 00:00:00 +0000
Steps;5000.0;13.835;2020-02-10 00:00:00 +0000
Steps;5000.0;16.234;2020-02-08 00:00:00 +0000
Steps;5000.0;9.128;2020-02-07 00:00:00 +0000
Steps;5000.0;8.748;2020-02-05 00:00:00 +0000
Steps;5000.0;12.963;2020-02-04 00:00:00 +0000
Steps;5000.0;6.974;2020-02-03 00:00:00 +0000
Steps;5000.0;12.437;2020-01-31 00:00:00 +0000
Steps;5000.0;5.094;2020-01-30 00:00:00 +0000
Steps;5000.0;8.289;2020-01-29 00:00:00 +0000
Steps;5000.0;11.109;2020-01-28 00:00:00 +0000
Steps;5000.0;6.155;2020-01-27 00:00:00 +0000
Steps;5000.0;9.493;2020-01-26 00:00:00 +0000
Steps;5000.0;5.054;2020-01-24 00:00:00 +0000
Steps;5000.0;6.579;2020-01-23 00:00:00 +0000
Steps;5000.0;11.334;2020-01-21 00:00:00 +0000
Steps;5000.0;15.100;2020-01-14 00:00:00 +0000
